ingredient_id,recipe_id,ingredient_name,qty_numeric,unit,qty_text
ING_f53284cb,R001,Rice,1.0,cup,
ING_917e55ec,R001,Water,3.5,cups,
ING_887bab8d,R001,Oil/Butter,1.0,tbsp,
ING_edb08c81,R001,Salt,1.0,tsp,
ING_bf7d20d8,R001,Pulav Masala,1.0,tsp,
ING_d11138e5,R001,Cauliflower,0.25,cup,
ING_e83188e1,R001,Green Beans,0.25,cup,
ING_62e08161,R001,Carrot,0.25,cup,
ING_4f437dc9,R001,Onion,0.5,medium,
ING_8684757f,R001,Tomato,1.0,medium,
ING_e8724b3b,R001,Green Chillies,1.0,pcs,
ING_2488002b,R001,Fresh Coriander,1.0,tbsp,
ING_ca6b5917,R002,Tomato,4.0,pcs,
ING_5a955675,R002,Water,2.0,cups,
ING_c351c7aa,R002,Butter,1.0,tbsp,
ING_0b524ff7,R002,Cream,2.0,tbsp,
ING_d85088d4,R003,Paneer,200.0,g,
ING_a2590325,R003,Tomato,2.0,pcs,
ING_ed522fb4,R003,Butter,2.0,tbsp,
ING_ae00901e,R003,Cream,2.0,tbsp,
ING_ade0e04a,R004,Dosa batter,2.0,cups,
ING_3f4df0d8,R004,Potato,2.0,pcs,
ING_99196ab7,R004,Onion,1.0,medium,
ING_f5f31058,R004,Turmeric,0.5,tsp,
ING_de7445b0,R004,Pepper,0.5,tsp,
ING_30c56d5e,R004,Salt,1.0,tsp,
ING_df920a12,R005,Paneer,200.0,g,
ING_95dfc82b,R005,Tomato,2.0,pcs,
ING_dd40a8f7,R005,Butter,2.0,tbsp,
ING_ec0a60f4,R005,Cream,2.0,tbsp,
ING_6b6eadb6,R006,Chickpeas,1.0,cup,
ING_6b31c647,R006,Cucumber,0.5,cup,
ING_64af9190,R006,Tomato,1.0,medium,
ING_8e055bab,R006,Olive Oil,1.0,tbsp,
ING_a4dbc974,R006,Salt,1.0,tsp,
ING_12a71841,R006,Green Chili,1.0,pcs,
ING_1142de71,R007,Tomato,4.0,pcs,
ING_51940145,R007,Water,2.0,cups,
ING_c345dff1,R007,Butter,1.0,tbsp,
ING_a129dcd8,R007,Cream,2.0,tbsp,
ING_69aacee0,R008,Tomato,4.0,pcs,
ING_5a130146,R008,Water,2.0,cups,
ING_2f90047f,R008,Butter,1.0,tbsp,
ING_f5986c9f,R008,Cream,2.0,tbsp,
ING_56a8e373,R008,Green Chili,1.0,pcs,
ING_e0cd53fc,R009,Pasta,200.0,g,
ING_b4678129,R009,Butter,2.0,tbsp,
ING_3928e4c2,R009,Cream,100.0,ml,
ING_dd382ff6,R009,Parmesan,50.0,g,
ING_6ec8e0ed,R009,Salt,1.0,tsp,
ING_e58e2dd5,R009,Pepper,0.5,tsp,
ING_35767e6e,R010,Tomato,4.0,pcs,
ING_8ba9146f,R010,Water,2.0,cups,
ING_6164befb,R010,Butter,1.0,tbsp,
ING_1eaf210f,R010,Cream,2.0,tbsp,
ING_b6f2779d,R010,Olive Oil,1.0,tbsp,
ING_10718e02,R011,Dosa batter,2.0,cups,
ING_3cc24f2c,R011,Potato,2.0,pcs,
ING_f4093379,R011,Onion,1.0,medium,
ING_45da3453,R011,Turmeric,0.5,tsp,
ING_eee7f523,R011,Salt,1.0,tsp,
ING_0c1a7d23,R012,Chickpeas,1.0,cup,
