interaction_id,user_id,recipe_id,type,rating,timestamp
I0001,U005,R020,view,,2025-11-20T07:05:32.640522+00:00
I0002,U002,R005,view,,2025-11-20T07:05:33.525122+00:00
I0003,U003,R019,like,,2025-11-20T07:05:34.248630+00:00
I0004,U001,R007,view,,2025-11-20T07:05:35.100414+00:00
I0005,U003,R003,view,,2025-11-20T07:05:35.850198+00:00
I0006,U005,R006,cook,5,2025-11-20T07:05:36.737896+00:00
I0007,U003,R007,view,,2025-11-20T07:05:37.493214+00:00
I0008,U003,R011,cook,5,2025-11-20T07:05:38.358845+00:00
I0009,U003,R009,view,,2025-11-20T07:05:39.106299+00:00
I0010,U005,R013,like,,2025-11-20T07:05:39.959557+00:00
I0011,U004,R011,cook,1,2025-11-20T07:05:40.714232+00:00
I0012,U001,R009,view,,2025-11-20T07:05:41.582741+00:00
I0013,U003,R018,view,,2025-11-20T07:05:42.316635+00:00
I0014,U001,R016,like,,2025-11-20T07:05:43.199749+00:00
I0015,U003,R010,like,,2025-11-20T07:05:43.894172+00:00
I0016,U002,R015,like,,2025-11-20T07:05:44.792853+00:00
I0017,U003,R020,like,,2025-11-20T07:05:45.556978+00:00
I0018,U004,R010,cook,3,2025-11-20T07:05:46.419998+00:00
I0019,U003,R014,view,,2025-11-20T07:05:47.157039+00:00
I0020,U004,R002,view,,2025-11-20T07:05:48.029269+00:00
I0021,U002,R005,view,,2025-11-20T07:05:48.762220+00:00
I0022,U003,R019,view,,2025-11-20T07:05:49.648232+00:00
I0023,U002,R005,view,,2025-11-20T07:05:50.352628+00:00
I0024,U003,R003,view,,2025-11-20T07:05:51.267542+00:00
I0025,U002,R001,view,,2025-11-20T07:05:51.915341+00:00
I0026,U003,R003,view,,2025-11-20T07:05:52.909299+00:00
I0027,U002,R008,like,,2025-11-20T07:05:53.523602+00:00
I0028,U003,R019,view,,2025-11-20T07:05:55.136787+00:00
I0029,U004,R003,view,,2025-11-20T07:05:55.584908+00:00
I0030,U002,R020,view,,2025-11-20T07:05:56.726858+00:00
I0031,U001,R012,view,,2025-11-20T07:05:57.229278+00:00
I0032,U003,R007,like,,2025-11-20T07:05:58.334708+00:00
I0033,U003,R015,view,,2025-11-20T07:05:58.822586+00:00
I0034,U005,R004,like,,2025-11-20T07:05:59.933768+00:00
I0035,U003,R012,view,,2025-11-20T07:06:00.412036+00:00
I0036,U001,R008,like,,2025-11-20T07:06:01.539027+00:00
I0037,U003,R005,view,,2025-11-20T07:06:02.000757+00:00
I0038,U005,R017,like,,2025-11-20T07:06:03.191140+00:00
I0039,U001,R006,view,,2025-11-20T07:06:03.601841+00:00
I0040,U001,R013,like,,2025-11-20T07:06:04.827936+00:00
I0041,U004,R010,view,,2025-11-20T07:06:05.229964+00:00
I0042,U001,R002,view,,2025-11-20T07:06:06.553963+00:00
I0043,U003,R017,view,,2025-11-20T07:06:07.073202+00:00
I0044,U004,R012,view,,2025-11-20T07:06:08.192968+00:00
I0045,U004,R015,view,,2025-11-20T07:06:08.795838+00:00
I0046,U003,R001,view,,2025-11-20T07:06:09.782255+00:00
I0047,U004,R005,view,,2025-11-20T07:06:10.504499+00:00
I0048,U003,R020,view,,2025-11-20T07:06:11.434371+00:00
I0049,U001,R004,cook,1,2025-11-20T07:06:12.310394+00:00
I0050,U003,R016,view,,2025-11-20T07:06:13.081523+00:00
