ingredient_id,recipe_id,ingredient_name,qty_numeric,unit,qty_text
ING_47886fae,R001,Rice,1.0,cup,
ING_db44d0aa,R001,Water,3.5,cups,
ING_eadb8e68,R001,Oil/Butter,1.0,tbsp,
ING_4231959f,R001,Salt,1.0,tsp,
ING_ed2116fa,R001,Pulav Masala,1.0,tsp,
ING_3921b1f2,R001,Cauliflower,0.25,cup,
ING_85fb9e04,R001,Green Beans,0.25,cup,
ING_9d555e4c,R001,Carrot,0.25,cup,
ING_26872dd4,R001,Onion,0.5,medium,
ING_4bcdcabf,R001,Tomato,1.0,medium,
ING_a7a4b319,R001,Green Chillies,1.0,pcs,
ING_16a98ea9,R001,Fresh Coriander,1.0,tbsp,
ING_d0e2dfbb,R002,Tomato,4.0,pcs,
ING_7db79e65,R002,Water,2.0,cups,
ING_417ae5c2,R002,Butter,1.0,tbsp,
ING_2df67fb0,R002,Cream,2.0,tbsp,
ING_a022dab1,R003,Paneer,200.0,g,
ING_a58f6b5d,R003,Tomato,2.0,pcs,
ING_937d9f69,R003,Butter,2.0,tbsp,
ING_4f8bf778,R003,Cream,2.0,tbsp,
ING_999aff40,R004,Dosa batter,2.0,cups,
ING_e3993608,R004,Potato,2.0,pcs,
ING_4f9a7aee,R004,Onion,1.0,medium,
ING_84276cc5,R004,Turmeric,0.5,tsp,
ING_7f8c26e2,R004,Pepper,0.5,tsp,
ING_588cfd0d,R004,Salt,1.0,tsp,
ING_7051f55d,R005,Paneer,200.0,g,
ING_75f36c2b,R005,Tomato,2.0,pcs,
ING_cb8d3972,R005,Butter,2.0,tbsp,
ING_a8037950,R005,Cream,2.0,tbsp,
ING_1135e3f6,R006,Chickpeas,1.0,cup,
ING_75e442f4,R006,Cucumber,0.5,cup,
ING_c71b94db,R006,Tomato,1.0,medium,
ING_dd50fd61,R006,Olive Oil,1.0,tbsp,
ING_11e26916,R006,Salt,1.0,tsp,
ING_b168c8e2,R006,Green Chili,1.0,pcs,
ING_56bdb59f,R007,Tomato,4.0,pcs,
ING_bc588907,R007,Water,2.0,cups,
ING_c1c57326,R007,Butter,1.0,tbsp,
ING_3957ab8f,R007,Cream,2.0,tbsp,
ING_3da0db6b,R008,Tomato,4.0,pcs,
ING_78c65a2f,R008,Water,2.0,cups,
ING_42aa36a4,R008,Butter,1.0,tbsp,
ING_112e6953,R008,Cream,2.0,tbsp,
ING_43b7ee16,R008,Green Chili,1.0,pcs,
ING_9dbc0559,R009,Pasta,200.0,g,
ING_92229247,R009,Butter,2.0,tbsp,
ING_341e8c64,R009,Cream,100.0,ml,
ING_90e49959,R009,Parmesan,50.0,g,
ING_31a9fda6,R009,Salt,1.0,tsp,
ING_41e0782d,R009,Pepper,0.5,tsp,
ING_fbb6b1da,R010,Tomato,4.0,pcs,
ING_5f27e3d7,R010,Water,2.0,cups,
ING_d053cf24,R010,Butter,1.0,tbsp,
ING_77459744,R010,Cream,2.0,tbsp,
ING_47c0a0ed,R010,Olive Oil,1.0,tbsp,
ING_4a36888a,R011,Dosa batter,2.0,cups,
ING_11bdd6b0,R011,Potato,2.0,pcs,
ING_7298a038,R011,Onion,1.0,medium,
ING_d2a4bb39,R011,Turmeric,0.5,tsp,
ING_316a1d09,R011,Salt,1.0,tsp,
ING_addd88fd,R012,Chickpeas,1.0,cup,
ING_5bac80b0,R012,Cucumber,0.5,cup,
ING_a2c3051f,R012,Tomato,1.0,medium,
ING_157df8f6,R012,Olive Oil,1.0,tbsp,
ING_a001125c,R012,Salt,1.0,tsp,
ING_49de59c8,R013,Dosa batter,2.0,cups,
ING_35872e55,R013,Potato,2.0,pcs,
ING_3e475c8e,R013,Onion,1.0,medium,
ING_dd000e99,R013,Turmeric,0.5,tsp,
ING_4f25f319,R013,Olive Oil,1.0,tbsp,
ING_2ac98fec,R013,Pepper,0.5,tsp,
ING_5fa69eeb,R014,Tomato,4.0,pcs,
ING_3484f938,R014,Water,2.0,cups,
ING_23b49d32,R014,Butter,1.0,tbsp,
ING_2aab9925,R014,Cream,2.0,tbsp,
ING_4fe173ca,R014,Green Chili,1.0,pcs,
ING_2883f055,R014,Olive Oil,1.0,tbsp,
ING_0a577cc3,R015,Broccoli,1.0,cup,
ING_83f4ec8c,R015,Carrot,1.0,cup,
ING_b05ca179,R015,Soy Sauce,1.0,tbsp,
ING_60181723,R015,Garlic,2.0,cloves,
ING_e805f600,R015,Salt,1.0,tsp,
ING_bf4d40be,R016,Dosa batter,2.0,cups,
ING_87103bb6,R016,Potato,2.0,pcs,
ING_e65c5b72,R016,Onion,1.0,medium,
ING_3f40dc44,R016,Turmeric,0.5,tsp,
ING_a89a9bfc,R017,Pasta,200.0,g,
ING_a0d4fea1,R017,Butter,2.0,tbsp,
ING_f3bcdd0f,R017,Cream,100.0,ml,
ING_deb5c36b,R017,Parmesan,50.0,g,
ING_c48f1610,R017,Green Chili,1.0,pcs,
ING_08219d30,R017,Olive Oil,1.0,tbsp,
ING_3c26a0b6,R018,Chickpeas,1.0,cup,
ING_78026ad5,R018,Cucumber,0.5,cup,
ING_de6d08bb,R018,Tomato,1.0,medium,
ING_207c74fa,R018,Olive Oil,1.0,tbsp,
ING_2125ec19,R018,Green Chili,1.0,pcs,
ING_43c909c9,R018,Coriander,1.0,tbsp,
ING_7a3d8d30,R019,Chickpeas,1.0,cup,
ING_c1744d04,R019,Cucumber,0.5,cup,
ING_166ba2b8,R019,Tomato,1.0,medium,
ING_775d486c,R019,Olive Oil,1.0,tbsp,
ING_83b06661,R019,Olive Oil,1.0,tbsp,
ING_dad1a7f4,R020,Chickpeas,1.0,cup,
ING_ccc2a439,R020,Cucumber,0.5,cup,
ING_78003b7c,R020,Tomato,1.0,medium,
ING_8a0a799d,R020,Olive Oil,1.0,tbsp,
ING_3508dcc9,R020,Coriander,1.0,tbsp,
ING_9b3b81be,R020,Pepper,0.5,tsp,
